,row,output,mse,is_alpha_credible,log_lik,c_mean,c_var,post_mean,cost,status,post_var,y_test,ls_dim_1,ls_dim_2
0,0,f_1,2649.61133711869,1.0,-5.38992353861444,75.07947594862364,2567.9129948727013,58.14361632867087,47.23527957434521,Converged,1910.5902248650234,6.6692407897807495,4.665127447057361,2.4066201807185985
1,1,f_1,296.36022113525917,1.0,-4.901542401504855,80.5945303878337,3398.9875528688567,85.96823616045633,47.50095168763221,Converged,2564.86640171089,68.75312009534485,4.146686657687294,3.5475192429395537
2,2,f_1,1418.4616565440763,1.0,-5.111212618006613,69.77873152631065,2995.124349222137,48.094445962493516,47.39265440296033,Converged,2460.1226602109273,10.431975829162164,1.1139925361173881,12.82716213175064
3,3,f_1,31.844151964064032,1.0,-4.658253953262471,73.90207573004213,2901.5575722862905,79.68600911079875,47.77838752227791,Converged,1737.67822976052,74.04294682476433,3.6562977594074764,2.8741277352697305
4,4,f_1,1139.3991506297366,1.0,-5.004432633915688,68.71565518301047,2834.6081296400666,77.07833645965593,47.45563710199325,Converged,2001.7946095075552,110.83332350793869,3.467292814106977,2.903821811321288
5,5,f_1,3599.9289642721815,1.0,-5.785159688788502,60.19505791478272,2810.4914007262028,68.55318705188982,46.69836965351702,Converged,1479.7308970454285,128.55259508457112,1.3981874544678718,12.07837602569126
6,6,f_1,1728.4428423695174,1.0,-5.146444622589378,72.88755315705498,3362.5407625172643,62.179817298913036,47.21873479352883,Converged,1743.1899839425591,20.605271692622672,1.5453320237529373,11.525786182711444
7,7,f_1,850.5338904403998,1.0,-4.842498145507847,81.08545644242244,3110.1829486185648,43.99827649984135,47.57738552932673,Converged,1383.4199752460404,14.834362317406928,4.825098532339273,3.120813876744935
8,8,f_1,11739.358684938705,0.0,-16.515731505370137,65.7598690375465,2133.152002103866,42.11398473535827,42.50193760963235,Converged,468.75875029942404,150.46230583420459,8.914942175925644,5.499722055830633
9,9,f_1,3.300441733453744,1.0,-4.534287853590869,72.16698700827665,2711.9748847437727,20.731816301984992,47.94615825756068,Converged,1377.8827230598927,18.915104510463358,3.5632463357255997,2.608329921369269
