,row,output,mse,is_alpha_credible,log_lik,c_mean,c_var,post_mean,cost,status,post_var,y_test,ls_dim_1,ls_dim_2,ls_dim_3,ls_dim_4,ls_dim_5,ls_dim_6,ls_dim_7,ls_dim_8
0,0,f_1,34.22673621187705,1.0,-3.1897413490156348,82.49271329458159,1553.529227764006,108.11934387637318,164.1696785146271,Converged,39.137246293332964,102.26898181818592,0.06886930498811211,41445.71112750267,42602.43051822538,292.3653703191454,1198.2173477560411,175.8987290892386,1088.9650377188216,4667.545316705267
1,1,f_1,61.2699487190314,1.0,-3.693364337988129,89.24614243925689,2148.265997026792,39.22126920410657,163.26640250747724,Converged,184.2558089736815,31.393756909703487,0.0783871512914801,41693.24010361009,42827.68233478933,344.4241540650754,1866.1656263083794,196.16461743619627,1210.0547529064308,9418.807161386767
2,2,f_1,26.60166904330853,1.0,-3.332758713259734,82.90570273565095,1640.6219829062375,63.54191468234652,163.57309276529878,Converged,94.17696920266576,68.699595269908,0.06931995784912767,41868.19594654733,43131.12461785448,298.97961356839045,1387.7783182080757,180.38898740027668,1191.0235396910118,5276.683966152851
3,3,f_1,5.2605887329898735,1.0,-3.492283596858519,51.34058103713467,2151.73973559552,24.322546903225216,167.82696762391765,Converged,166.5171408387123,22.028949568689384,0.08362487769424937,41270.76811149844,42970.5768587335,711.5478256390572,7440.9634411966945,132.91390181668453,1342.7186529404078,3284.6667108094243
4,4,f_1,0.26662366909602625,1.0,-3.292482532366041,85.25244709190112,2151.9116817651343,167.2798555738642,163.23904611065592,Converged,114.98125944697404,167.79621171946144,0.07771985478454929,42113.465640231996,43857.05150599323,342.4410463533106,1622.481774110797,199.7019477798069,1248.8955226508767,8704.065285494828
5,5,f_1,68.04702067815435,1.0,-3.549153392207076,79.24037402034152,1560.4737424634259,87.34543801451362,164.04822359158214,Converged,91.64523644664928,79.09637620857748,0.06760966684573619,41600.481997504,42375.56076078444,296.93584898502024,2152.894323961255,160.92203306368035,1296.3066762575402,4400.128555795161
6,6,f_1,0.7458322085468094,1.0,-3.2065606726806113,103.44724299527296,21155.766179130485,63.132188136230965,157.04863531431656,Converged,96.3030161599927,63.9958039122256,0.1723136043942319,306072.594090293,265676.42967441626,615.1327623325285,20810.138572196727,243.10460147040163,953.1267980581986,593899.5128623334
7,7,f_1,244.06967292956125,0.0,-14.560061574009858,95.74986791562802,18281.86876047849,112.4940577944524,157.0061001914131,Converged,9.761294998628728,96.87132842569096,0.13867138587831637,106977.43738450781,96356.95423393631,990.8902509068126,21439.928129922457,430.33166333553686,1880.7886242686193,328814.2069792204
8,8,f_1,42.18913001859042,1.0,-3.3583324998197535,82.52797804268658,1589.0257806154477,91.11089935937025,164.09061256979174,Converged,74.79043409473434,97.60621536543111,0.06473635022049061,41323.99528121932,42811.57031641156,306.62934408709253,1915.4254281962174,191.35986832779716,1158.706789061238,4530.456624853677
9,9,f_1,0.33374594160497134,1.0,-3.108122194900773,82.34102844149025,1476.6483280671716,45.258267781383516,164.02520062473744,Converged,79.37334148002765,45.835975269308825,0.06459053410577356,41358.267624821885,43428.43695444921,283.30344053638686,26918.146019684904,168.04693415991605,1050.3846582206843,4977.0380745397015
10,10,f_1,2.5436666171693845,1.0,-3.1434787872136374,84.05471003953286,1926.935792841452,28.945106084642,163.90190652833502,Converged,82.96518499622584,30.539993734970192,0.07365301573820407,40698.1851518727,43301.95595888817,323.71448955297,1569.5497209279831,189.29654027007416,1237.7188999228686,6085.293995834718
