,row,output,mse,is_alpha_credible,log_lik,c_mean,c_var,post_mean,cost,status,post_var,y_test,ls_dim_1,ls_dim_2
0,0,f_1,6.297178572641345,1.0,-2.363271425942467,78.53637896260248,5102.960210419083,21.68017954554402,85.02701255217728,Converged,8.747956164826974,24.18959752042213,6.011975735751005,9.230005991073579
1,1,f_1,317.8271743830725,1.0,-4.819698652486484,81.47664686538467,4759.636414292424,19.28116522383452,82.55600003761869,Converged,99.17843390322287,1.453457171954364,5.586315809338254,10.565298646682027
2,2,f_1,5.964603143719636,1.0,-4.17260267985348,111.42125960776434,10549.94325222369,3.538710832847073,83.06543682662691,Converged,664.0424187245244,5.980964534598723,6.690640606295299,14.02605677981096
3,3,f_1,1.229592289931487,1.0,-2.0548641669212953,71.9720919704829,3851.53442469494,10.025287036474538,85.46988151081766,Converged,8.372872074328825,11.134156861986751,5.495002867067508,7.870102245629326
4,4,f_1,16.914501127172315,1.0,-3.374456427521413,85.04900599410087,5779.553548024034,15.330891426613903,83.93747913281436,Converged,117.58845724552339,19.44361572167336,5.972604736287133,10.105369434341439
5,5,f_1,4.193114901683414,1.0,-2.2322667714935687,73.70791962415964,4084.4054521884786,8.74035447674575,85.26002331465044,Converged,8.387327141358128,6.692644804530616,5.658610029881728,8.1289876790611
6,6,f_1,4.158260704073498,1.0,-2.232078468057625,82.93684043532542,5697.079553672532,21.922233685724592,85.08474343049882,Converged,8.450192490185145,19.883052304857873,6.021755211011854,10.025349472254984
7,7,f_1,30.76233222749634,1.0,-3.3972532484928832,88.31604942774516,5898.571312916463,74.78711260848024,83.90026827197549,Converged,106.44553496603021,80.33349270972613,5.991255731833227,10.303516074756347
8,8,f_1,11244.719811127567,0.0,-13.43379399982044,59.85950524814702,2735.0648408027128,17.052713174448364,76.55917244085774,Converged,603.6898527776361,123.0938363820397,5.551982497200493,10.262825810512474
9,9,f_1,0.5916357080474993,1.0,-3.49347523148064,90.2005952865232,6243.397903594478,105.64266121018676,83.78760371677302,Converged,171.6791323857051,106.41183980326349,5.872574006613637,10.944643964356581
10,10,f_1,62.38615003576161,1.0,-3.706705331918421,84.33161979618286,6119.174923488709,62.129380503774556,83.57997468865776,Converged,190.0456511034654,70.02787086812657,6.012803255129325,10.588713672487723
11,11,f_1,68.84752491934732,1.0,-3.538504264954167,92.89109481749217,7125.18856783277,22.690575882212286,83.70828746416794,Converged,61.1879068514836,30.98801674788571,6.112101188794188,12.123606994780701
12,12,f_1,11.463972431418405,1.0,-3.110059928548919,77.15505795228991,4369.246018013497,30.94486981587501,84.29660230031891,Converged,67.52265288192484,27.559020966410756,5.524604050801081,8.781835874169609
13,13,f_1,4.278168431163314,1.0,-2.426137505059417,82.06747316826323,5586.982991131791,3.9222260479288593,84.90203361367156,Converged,15.447539447949566,1.8538526698456577,5.975385720226169,9.869322849731063
14,14,f_1,66.89557439731507,1.0,-3.5663135167458737,77.52324153048403,4792.133073144066,59.27289179513775,83.80961416172283,Converged,106.06335745983779,51.0939203196211,5.802018257582811,9.130558400761682
15,15,f_1,171.94158934419053,1.0,-4.181058400428213,108.65870598477966,9286.208841737276,59.61728583009483,83.09153654181712,Converged,474.2130821342271,46.50463585595953,6.817061244827497,12.545467720813283
16,16,f_1,0.45423688949849705,1.0,-2.7197692942779326,96.7766325044635,7513.171083608014,3.093159273959756,84.53090048793123,Converged,36.20199519982725,3.767130259610101,6.1579172771255175,11.978491789161554
17,17,f_1,60.12193171753775,1.0,-3.470307177202301,106.87706589722325,9060.578708678744,2.3551246784406885,83.76793942979253,Converged,67.4469929921379,10.10895803475792,6.715175094864025,12.841947556608082
18,18,f_1,7.481995121369019,1.0,-3.4232422324655314,92.67009583122166,6440.268224367061,71.93941297524003,83.86201417784991,Converged,142.01352658275027,74.6747365614669,5.815732780021122,11.381491058469226
19,19,f_1,5.310336594822277,1.0,-3.6507174862460774,84.47291040984464,5466.704743283783,20.177791344048387,83.66674997496234,Converged,230.56340605316927,17.873374585989577,5.784732213510627,9.995001325086333
