,x0,x1,x2,x3,x4,x5,x6,x7,g_4,g_5,g_6
0,8314.987162867888,1346.490354313126,9852.872438471002,929.2706718750079,788.4958390303592,454.4234096079122,514.2111338399785,200.29991122573966,-143390774.37578017,58027449.33175949,209154498.8038512
1,5377.534461623592,7264.457491234695,4369.512295193481,285.2542772507051,550.6478377978057,176.75333189661046,391.94390285286886,526.6147421675548,-46681722.97490755,-62816290.98056182,-9866402.394615795
2,5601.097459551179,3817.2155448862095,8794.2187174027,141.25605990229798,284.67754387441005,92.99297236042611,20.87527349493769,149.49821101098635,22200667.494409133,76263285.35426947,126036181.04949117
3,7860.361585693405,8565.30677980062,3210.0581268177307,581.7508838225135,517.083968141289,933.0892556368697,767.6702546667395,820.8377580418181,-228032789.6665459,-124104521.32634155,-96926779.5314028
4,3582.1824010796577,7545.052997226104,3504.8180513669163,101.38099320692976,954.213704451176,563.1551549362097,577.8411269841815,88.21177296512569,-123547474.48656021,-151411902.1087034,132003277.40156436
5,2208.4672982497973,7469.935844611781,2993.9532585113398,382.7917220037191,636.785729190529,276.67267489673424,436.7071446178545,961.9235474918898,-34760196.04186704,-24315129.667728275,-110231018.48563342
6,8036.7341094890735,5978.735533817929,7957.620367865513,245.3581976717073,325.24958766534803,917.3689226239927,631.7571590634477,59.73095759072056,-232958355.03865144,-141993863.35115793,152004482.15453273
7,5248.088235686035,1185.8652168068188,9209.588931734259,331.66824713286115,21.78144870187697,732.3335903047197,361.38739462403333,733.8553018969102,-167311339.92624643,-61216874.11716605,-214449190.90260625
8,9067.843740272832,5675.956319725838,6761.40691099397,351.895764170274,464.80323505735777,237.0592060495186,155.7013912801794,250.72992744904687,-97653410.3221698,107670169.79870884,118985002.14768527
9,6916.1529488646165,7909.467556992169,9047.082205203174,916.2266810962177,712.7632878946083,680.6852923304067,471.48381761321633,34.54729629589674,-172481305.9077549,170721095.1755377,218755331.599052
10,3040.319574171461,3033.136085618072,6439.338691133593,537.3297771144686,343.1213075180482,645.0924923126082,833.8261930336691,829.2046579647837,-109285535.9513856,-102721549.7160009,-157213040.41755122
11,508.5921488391806,1743.203880087699,9663.077367204274,223.44142194821805,573.9291594599673,994.1682233899879,129.1946867394733,267.4369843175669,-55411368.08899412,73951148.3438707,158265526.9044064
12,1221.9070521714555,1959.20032822994,2214.6991812487704,270.5442762318134,502.3290960512708,610.5598991010438,699.5689074099951,376.30175647530416,-65682870.98413954,-70538427.00973654,48174317.05171698
13,1912.7726038960557,6706.030691681091,8007.934148236506,20.54556375128669,751.3945334909723,134.2683877855151,921.9512298825844,534.7998819570653,-31642615.748649426,-210218171.49140963,101077836.64793064
14,924.917973481904,8669.719618021863,2657.695245015594,409.23508182431993,177.97585880981856,408.03374877004165,973.2434317075787,592.9883524952314,-11576951.787963403,-211098701.16943356,-50547141.00049497
15,6700.698021411553,4810.815510181989,1915.338769611736,724.9434543272015,191.0563206697633,355.7045358624145,164.7429652492907,622.1435145767344,-104974625.64853391,136228392.3232715,-18094118.299128946
16,9008.54949190224,2249.605504160285,3930.8076790636346,763.6321700583278,942.7813339756419,388.5622582425661,424.68728773647035,445.99563989393937,-136836817.92191595,95402672.834912,88205568.00778437
17,6203.8051994877205,9393.742969898056,8230.412415059836,39.56690716756394,392.08067732037097,474.53827290899386,937.1483525575353,707.6536121817314,-146924351.70759687,-256211998.7195021,-145546219.61122254
